,source,sink,reactance,limit
409,n_9508,n_23787,311.2066446353109,5368.71
410,n_9820,n_7091,34.020923412233294,4648.25
411,n_9821,n_9840,20.04482142339199,4490.89
412,n_9821,n_23774,30.17876876538476,1214.11
413,n_9822,n_22867,85.70813431904546,4936.42
414,n_9823,n_28718,20876.826722338206,13553.39
415,n_9825,n_23768,799.0430660241294,5708.6
416,n_9829,n_9831,110.31403095191081,5018.2
417,n_9829,n_9832,162.76044315762422,5146.88
418,n_9830,n_28993,84.01551127975452,4930.01
419,n_9830,n_9832,136.53198650900134,5088.34
420,n_9831,n_28668,164.75460707426626,10300.64
421,n_9831,n_23770,61.67712309773105,4831.81
422,n_9833,n_28993,152.66443715522644,10248.78
423,n_9833,n_23769,201.32520301633474,5218.63
424,n_9833,n_23770,201.30072476312944,5218.58
425,n_9834,n_23769,879.3048567524457,5744.28
426,n_9834,n_28666,55.531060187894894,4798.9
427,n_9835,n_23770,1089.0351584110542,5824.84
428,n_9835,n_23769,1049.2805083554208,5810.75
429,n_9837,n_23771,290.3474849665331,5344.52
430,n_9838,n_23773,14245.014245014243,6886.09
431,n_9840,n_23774,77.76615778566776,1291.28
432,n_9841,n_23774,27855.15320334262,1893.8
433,n_9846,n_29001,224.75223313818847,5256.16
434,n_9846,n_28995,188.87870832651006,5196.99
435,n_9846,n_18698,22.300975391141268,4522.18
436,n_9849,n_23777,63.66670429368891,4841.8
437,n_9850,n_23776,726.8413799519703,5673.51
438,n_9851,n_23776,107.10189449328112,5008.55
439,n_9851,n_30518,120.24581129728637,5046.44
440,n_9851,n_28662,186.1107761117141,1366.76
441,n_9852,n_28995,965.6582940873709,5779.42
442,n_9858,n_28998,31.196382192992736,4622.09
443,n_9859,n_9858,16.922638210190033,4441.66
444,n_9859,n_28766,154.93647759355142,5130.4
445,n_9864,n_9866,235.2948373724437,5271.87
446,n_9865,n_23787,114.38582475954384,5030.05
447,n_9865,n_28955,816.7045481459581,5716.73
448,n_9866,n_23783,8604.14892060952,6663.8
449,n_9868,n_23786,25.89573408955092,4566.4
450,n_9868,n_23784,22.905935379103653,4530.07
451,n_9869,n_23788,5057.222472273778,6437.2
452,n_9870,n_23789,147.124964855524,5113.15
453,n_9870,n_18693,54.76799483253016,4794.58
454,n_9871,n_23789,34.50783748906619,4652.55
455,n_9871,n_23788,95.61671009099555,4971.7
456,n_9872,n_23788,1962.9127269372477,6052.58
457,n_9873,n_31010,19.519292527146213,4483.13
458,n_9874,n_17072,180.18248521737846,1363.88
459,n_9874,n_9876,29.243141869125708,4602.68
460,n_9874,n_23789,34.659520982544734,4653.88
461,n_9874,n_23790,29.63392501218251,4606.66
462,n_9876,n_18868,251.12226540409088,1393.68
463,n_9877,n_23790,27.889998610241367,4588.5
464,n_9881,n_28663,31.210074512180295,4622.22
465,n_9885,n_23793,439.2837390777589,5490.54
